Trajectories
100
,,WBObject:WB_ID1,,,WBObject:WB_ID2,,,WBObject:WB_ID3,,,WBObject:WB_ID4,,,WBObject:WB_ID5,,,WBObject:WB_ID6,,,WBObject:WB_ID7,,,WBObject:WB_ID8,,,WBObject:WB_ID9,,,WBObject:WB_ID10,,,WBObject:WB_ID11,,,WBObject:WB_ID12,,,WBObject:WB_ID13,,,WBObject:WB_ID14,,,WBObject:WB_ID15,,,WBObject:WB_ID16,,,WBObject:WB_ID17,,,WBObject:WB_ID18,,,WBObject:WB_ID19,,,WBObject:WB_ID20,,,WBObject:WB_ID21,,,WBObject:WB_ID22,,,WBObject:WB_ID23,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,982.416260,-551.207153,475.480743,1027.680908,-349.787415,456.531372,1074.283325,-270.568909,366.188995,1096.847412,-263.753754,396.511963,1096.556519,-255.980820,435.946167,1053.365723,-58.196621,382.172577,,,,1115.732666,791.263672,181.750504,1122.326050,932.175781,196.530930,870.200378,981.538147,196.606522,824.505920,846.225403,184.334579,669.616272,383.437225,13.512582,553.294312,13.934073,397.614258,482.314636,-126.922142,500.641479,516.779602,-135.097076,520.651306,554.549255,-148.694550,515.548706,480.169312,-240.842300,478.028137,423.136810,-439.856232,497.281677,653.829224,85.241684,591.048340,641.369934,760.671997,667.922241,991.031250,1005.362976,698.810791,1257.841675,642.341919,664.376831,975.687500,26.171227,587.770325
11,0,982.516296,-551.164551,475.342621,1027.678223,-349.779663,456.540375,1074.281860,-270.500610,366.151276,1096.834839,-263.741089,396.447815,1096.542236,-256.026001,436.007294,1053.350952,-58.172436,382.198669,,,,1115.715576,791.258545,181.772766,1122.288818,932.153442,196.544495,869.972778,981.624939,196.747742,824.703430,846.154297,184.219086,669.620056,383.399445,13.513204,553.256653,13.918447,397.595612,482.321838,-126.914635,500.611542,516.792419,-135.120071,520.705627,554.563171,-148.722794,515.547974,480.161499,-240.870193,478.048523,423.121887,-439.884186,497.271790,653.721863,85.357964,591.094360,641.358032,760.567261,667.852722,991.004028,1005.336182,698.768799,1257.848999,642.326294,664.366089,975.692383,26.165209,587.784912
12,0,982.496155,-551.165039,475.337891,1027.672485,-349.787048,456.514862,1074.305908,-270.539795,366.117004,1096.911865,-263.753845,396.587616,1096.529541,-256.000732,435.937164,1053.365479,-58.178223,382.193329,,,,1115.709839,791.238403,181.731430,1122.274780,932.124023,196.495407,870.240173,981.517517,196.558060,824.897949,846.103271,184.064865,669.619690,383.395996,13.482304,553.277588,13.905483,397.578705,482.466888,-126.879738,500.553131,516.804504,-135.107910,520.588501,554.569214,-148.725189,515.511292,480.145935,-240.855759,478.004303,423.130035,-439.877045,497.244202,653.716553,85.405769,590.987793,641.369324,760.566162,667.883728,991.003418,1005.347229,698.778992,1257.821289,642.354797,664.348267,975.683411,26.175022,587.752686
13,0,982.431519,-551.230103,475.503998,1027.661621,-349.764038,456.496613,1074.357300,-270.637207,366.207184,1096.901855,-263.748535,396.590393,1096.537354,-256.003113,435.980286,1053.744629,-57.796715,382.779510,,,,1115.719116,791.278442,181.740280,1122.296631,932.166992,196.526581,870.042114,981.628296,196.803574,824.788635,846.146057,184.206467,669.610352,383.429474,13.527383,553.333008,13.938026,397.616364,482.348328,-126.915962,500.671082,516.828613,-135.102112,520.617981,554.605591,-148.735413,515.517578,480.151489,-240.845825,478.043579,423.160034,-439.860840,497.263306,653.753784,85.411247,591.018921,641.368835,760.632874,667.906006,991.024353,1005.359985,698.798340,1257.870728,642.340637,664.374146,975.712158,26.152416,587.809875
14,0,982.476013,-551.125061,475.377533,1027.667358,-349.794128,456.510773,1074.326782,-270.639557,366.218994,1096.884888,-263.784119,396.590637,1096.548828,-256.045563,435.943695,1053.225464,-58.157288,382.257263,,,,1115.693848,791.230530,181.747955,1122.255615,932.172852,196.529373,870.020752,981.577942,196.711426,824.692139,846.189209,184.166931,669.605225,383.404633,13.504073,553.247559,13.970633,397.608521,482.405975,-126.880257,500.634552,516.751709,-135.120529,520.630432,554.559021,-148.718063,515.516541,480.151886,-240.837402,478.049286,423.142181,-439.884369,497.258301,653.761353,85.253448,590.998718,641.414734,760.593811,667.905945,991.004333,1005.347229,698.772949,1257.867554,642.367432,664.370789,975.655518,26.174751,587.774475
15,0,982.514221,-551.148743,475.376984,1027.699097,-349.795746,456.504089,1074.339722,-270.591858,366.151733,1096.957397,-263.771698,396.583557,1096.564819,-256.082855,435.979309,1053.382812,-58.139851,382.240356,,,,1115.734985,791.243774,181.718079,1122.292358,932.154114,196.515640,870.025513,981.618591,196.791000,824.561096,846.271362,184.293610,669.618835,383.406006,13.501201,553.320312,13.952401,397.616577,482.348755,-126.891273,500.646698,516.781860,-135.097260,520.667114,554.598022,-148.742645,515.542053,480.151764,-240.848099,478.022339,423.165070,-439.854980,497.252716,653.805420,85.307022,590.915894,641.341370,760.609314,667.917419,991.023315,1005.354309,698.790466,1257.828369,642.345581,664.364380,975.722412,26.187860,587.754639
16,0,982.430786,-551.241150,475.496185,1027.680664,-349.793091,456.523865,1074.331665,-270.585815,366.208557,1096.941406,-263.690887,396.586853,1096.557617,-256.015747,435.958649,1053.421021,-58.107819,382.280182,,,,1115.715332,791.261292,181.746216,1122.302612,932.170166,196.525955,870.000122,981.569397,196.738159,824.817078,846.101440,184.136154,669.609802,383.446320,13.540048,553.215271,13.906165,397.624573,482.451447,-126.939117,500.564392,516.881775,-135.055313,520.591125,554.554626,-148.707794,515.534729,480.148346,-240.831009,478.036865,423.140289,-439.855255,497.304230,653.727844,85.258301,590.957275,641.397522,760.596802,667.840942,991.025269,1005.355469,698.789062,1257.856079,642.342896,664.386536,975.698425,26.154581,587.771240
17,0,982.497681,-551.118225,475.360474,1027.673584,-349.790192,456.519196,1074.353149,-270.624390,366.203491,1096.911743,-263.743561,396.576385,1096.511597,-256.034210,435.999481,1053.717651,-57.849724,382.760040,,,,1115.723389,791.247070,181.739349,1122.294678,932.163391,196.521805,869.960388,981.619934,196.735687,824.889893,846.096069,184.058945,669.598938,383.411713,13.497174,553.241211,13.987967,397.581909,482.240112,-126.898903,500.683319,516.772522,-135.098907,520.625366,554.548645,-148.712967,515.531677,480.142151,-240.839142,478.026123,423.123016,-439.859833,497.257233,653.731750,85.418289,591.033813,641.356079,760.632385,667.913818,990.988342,1005.348328,698.776978,1257.845825,642.325623,664.358643,975.680054,26.160486,587.752563
18,0,982.452942,-551.199768,475.517670,1027.710327,-349.795013,456.526245,1074.332520,-270.547852,366.173767,1096.773682,-263.826080,395.834656,1096.518433,-256.022858,435.935516,1053.406128,-58.117294,382.270386,,,,1115.749146,791.247864,181.767197,1122.320679,932.160645,196.528198,870.021973,981.637207,196.779953,824.493530,846.277588,184.376450,669.610596,383.440002,13.529892,553.270752,13.963506,397.609680,482.338715,-126.888084,500.738037,516.801086,-135.047470,520.674316,554.566833,-148.709503,515.532349,480.172058,-240.829453,478.036530,423.149384,-439.854156,497.267761,653.821106,85.338432,591.030762,641.383667,760.636902,667.904907,991.051697,1005.373596,698.806335,1257.846558,642.358521,664.364685,975.662170,26.193417,587.785339
19,0,982.481140,-551.151001,475.382111,1027.666504,-349.788208,456.527344,1074.316284,-270.541504,366.189819,1096.948242,-263.773743,396.487061,1096.572998,-256.010193,435.970490,1053.283203,-58.126686,382.268066,,,,1115.724121,791.245789,181.751953,1122.288574,932.151917,196.542648,870.229797,981.491699,196.561798,824.729797,846.187866,184.177719,669.616333,383.419098,13.511301,553.239563,13.951107,397.660034,482.299988,-126.929443,500.630798,516.815735,-135.112534,520.625244,554.578613,-148.750824,515.499268,480.142426,-240.827896,478.040222,423.133057,-439.856415,497.262299,653.709290,85.359390,591.082520,641.327820,760.659790,667.835999,991.012329,1005.368347,698.761108,1257.842163,642.335632,664.353455,975.698242,26.157215,587.787231
