Trajectories
100
,,WB Sys Redo:WB_Door1,,,WB Sys Redo:WB_Door2,,,WB Sys Redo:WB_Door3,,,WB Sys Redo:WB_Door4,,,WB Sys Redo:WB_Door5,,,WB Sys Redo:WB_Door6,,,WB Sys Redo:WB_Door7,,,WB Sys Redo:WB_Door8,,,WB Sys Redo:WB_Door9,,,WB Sys Redo:WB_Door10,,,WB Sys Redo:WB_Frame1,,,WB Sys Redo:WB_Frame2,,,WB Sys Redo:WB_Frame3,,,WB Sys Redo:WB_Frame4,,,WB Sys Redo:WB_Frame5,,,WB Sys Redo:WB_Frame6,,,WB Sys Redo:WB_Frame7,,,WB Sys Redo:WB_Frame8,,,WB Sys Redo:WB_Frame9,,,WB Sys Redo:WB_Frame10,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,1099.903320,689.975281,930.665161,1103.484375,707.695740,894.889038,1107.156616,743.094666,877.232056,1217.863037,751.955811,1217.407593,1220.166870,767.144287,1648.588257,1166.614990,765.452209,1685.954346,1154.693359,176.957794,1653.925781,1103.791016,182.969971,1688.669922,1099.970337,172.450653,1007.940918,1153.958618,175.945511,1189.971069,1133.854492,1042.401855,1770.710571,1134.290527,917.461670,600.033508,1150.336304,77.298271,321.628540,1148.978027,79.084801,435.243652,1063.686279,17.735823,457.361053,1152.503052,86.453957,1066.653564,1154.153687,86.872452,1176.356323,1050.516724,36.465828,1727.956909,1152.823853,90.874092,1812.459106,1151.025635,92.696144,1924.131226
11,0,1099.894165,690.030151,930.619751,1103.254150,707.763916,894.896179,1107.177490,743.138367,877.266235,1217.858521,751.964172,1217.404785,1220.204956,767.121582,1648.587891,1166.655396,765.433472,1685.885620,1154.694336,176.964493,1653.913330,1103.812866,183.005356,1688.625488,1099.971680,172.442001,1007.941223,1153.966431,175.964111,1189.962891,1133.890991,1043.002075,1771.023926,1134.293701,917.442871,600.064392,1150.853271,76.908165,322.095612,1148.473267,79.623985,434.509186,1063.657227,17.856859,457.253296,1152.531250,86.557465,1066.657227,1154.198242,86.875633,1176.326904,1050.540161,36.513840,1727.964722,1152.864868,90.886757,1812.455322,1151.175049,92.692856,1924.058960
12,0,1099.280762,690.148865,930.850952,1103.466919,707.669495,894.832703,1107.149048,743.092346,877.284180,1218.043213,751.924072,1217.492554,1220.186646,767.103027,1648.585815,1166.559082,765.450317,1685.904663,1154.673340,176.941956,1653.902222,1103.836792,182.996490,1688.513916,1099.917603,172.415466,1008.046265,1153.933838,175.952896,1189.953247,1133.919922,1042.940063,1770.975708,1134.275146,917.432007,600.047119,1150.799561,76.917480,322.087280,1148.463623,79.565811,434.590363,1063.630615,17.813372,457.300201,1152.422974,86.559105,1066.589966,1154.179321,86.871208,1176.306519,1050.552612,36.437191,1727.931885,1152.863892,90.871529,1812.480957,1151.097046,92.732430,1924.159668
13,0,1099.552612,690.348999,930.652161,1103.438477,707.773621,894.886475,1107.190308,743.134216,877.210510,1217.862427,751.950256,1217.403320,1220.159790,767.116089,1648.581421,1166.616943,765.464233,1685.927124,1154.649658,176.950974,1653.894409,1103.706909,182.947540,1688.628784,1099.665283,172.410919,1008.309143,1153.922852,175.942642,1189.957886,1133.833984,1042.524780,1770.794434,1134.287964,917.428345,600.066650,1150.768677,76.855965,322.100769,1148.392822,79.572548,434.586670,1063.659790,17.762709,457.247559,1152.495239,86.432732,1066.602295,1154.143066,86.843544,1176.284302,1050.479370,36.428455,1727.939575,1152.872803,90.879181,1812.490601,1151.019775,92.671616,1924.067993
14,0,1099.814941,690.276367,930.795166,1103.317749,707.773132,894.856628,1107.163452,743.094971,877.251221,1217.902832,751.981018,1217.401001,1220.176758,767.122864,1648.559204,1166.590332,765.436646,1685.919434,1154.671753,176.940643,1653.888306,1103.775879,182.970276,1688.603516,1100.082886,172.486542,1007.926086,1153.937378,175.951218,1189.925415,1133.839355,1042.634521,1770.833618,1134.337280,917.033813,599.937988,1150.866699,76.950935,321.986633,1148.477661,79.394623,434.620575,1063.660278,17.852242,457.218201,1152.478638,86.436508,1066.516479,1154.196411,86.891808,1176.291504,1050.457275,36.463581,1727.882812,1152.845459,90.892540,1812.464478,1151.048828,92.740829,1924.194336
15,0,1099.619141,690.346802,930.606201,1103.305908,707.775269,894.995422,1107.177368,743.104675,877.267334,1217.872803,751.952087,1217.433228,1220.178101,767.106384,1648.600708,1166.643555,765.458130,1685.937134,1154.652832,176.944138,1653.920654,1103.767700,182.963531,1688.640503,1099.908203,172.434525,1008.044495,1153.934937,175.956314,1189.962646,1133.851562,1042.927246,1770.997559,1134.307251,917.400696,600.029358,1150.375977,77.236519,321.632690,1148.793457,79.145309,434.854462,1063.618286,17.799522,457.371490,1152.493408,86.480522,1066.601562,1154.174561,86.846611,1176.364990,1050.533813,36.381004,1727.978271,1152.836670,90.876137,1812.495117,1151.045898,92.719780,1924.174072
16,0,1099.590332,690.347168,930.579956,1103.371338,707.734070,894.850220,1107.107910,743.125916,877.275452,1217.907837,751.977173,1217.449951,1220.191650,767.127258,1648.613037,1166.611206,765.467407,1685.913940,1154.674316,176.962311,1653.910400,1103.785889,182.994675,1688.586426,1100.045898,172.491760,1007.956848,1153.957642,175.965149,1189.971436,1133.815918,1042.609497,1770.791504,1134.307861,917.399414,600.051270,1150.462402,77.270287,321.661438,1148.877441,79.085068,434.759277,1063.636230,17.803513,457.280060,1152.333618,86.441849,1066.323120,1154.178955,86.905518,1176.359619,1050.530518,36.422283,1727.917480,1152.848267,90.891273,1812.441040,1151.027100,92.714165,1924.162964
17,0,1099.550659,690.327087,930.655396,1103.186035,707.725952,895.064697,1107.202515,743.089050,877.227722,1217.897217,751.975708,1217.442261,1220.155640,767.132202,1648.598999,1166.596436,765.446838,1685.927979,1154.677856,176.983459,1653.936035,1103.858154,182.978409,1688.624878,1099.943481,172.448410,1008.058899,1153.943237,175.968460,1189.960571,1133.808228,1042.575439,1770.851929,1134.310425,917.386536,600.023254,1150.449097,77.250519,321.679047,1148.364136,79.596825,434.774200,1063.636353,17.821621,457.379547,1152.514648,86.400032,1066.537354,1154.222046,86.889931,1176.380371,1050.451904,36.409939,1727.999390,1152.857422,90.876694,1812.468994,1151.177246,92.750694,1924.097046
18,0,1099.859863,690.150696,930.582336,1103.348022,707.732056,894.913269,1107.108276,743.123596,877.294067,1217.892944,751.971802,1217.445923,1220.174194,767.136963,1648.635254,1166.647827,765.449829,1685.873291,1154.686890,176.958389,1653.948120,1103.824707,182.999634,1688.617798,1099.944458,172.462494,1008.051758,1153.964722,175.968170,1190.001343,1133.830444,1042.546509,1770.778931,1134.319458,917.042053,599.959717,1150.930786,76.877960,322.141663,1148.479614,79.526657,434.797577,1063.659790,17.819767,457.370026,1152.339722,86.438721,1066.337158,1154.207764,86.933853,1176.387085,1050.475708,36.433403,1728.018311,1152.852417,90.899895,1812.475098,1151.187012,92.784882,1924.241577
19,0,1099.295166,690.429749,930.647339,1103.425659,707.715637,894.805603,1107.138672,743.066956,877.270935,1217.895264,751.978821,1217.437134,1220.165527,767.145752,1648.605103,1166.536499,765.454834,1685.906738,1154.701172,176.964127,1653.949707,1103.533936,182.974396,1688.546021,1099.650024,172.401489,1008.293884,1153.951660,175.992798,1189.991211,1133.811523,1042.559326,1770.845825,1134.286255,917.382935,600.036072,1150.828003,76.943497,322.179810,1148.160156,79.504807,434.285797,1063.658203,17.823578,457.330139,1152.582031,86.382042,1066.540039,1154.224121,86.911331,1176.359375,1050.545288,36.469734,1727.933716,1152.860596,90.885689,1812.500610,1151.067871,92.716591,1924.228516
