Trajectories
100
,,WB Sys Redo:WB_Door1,,,WB Sys Redo:WB_Door2,,,WB Sys Redo:WB_Door3,,,WB Sys Redo:WB_Door4,,,WB Sys Redo:WB_Door5,,,WB Sys Redo:WB_Door6,,,WB Sys Redo:WB_Door7,,,WB Sys Redo:WB_Door8,,,WB Sys Redo:WB_Door9,,,WB Sys Redo:WB_Door10,,,WB Sys Redo:WB_Frame1,,,WB Sys Redo:WB_Frame2,,,WB Sys Redo:WB_Frame3,,,WB Sys Redo:WB_Frame4,,,WB Sys Redo:WB_Frame5,,,WB Sys Redo:WB_Frame6,,,WB Sys Redo:WB_Frame7,,,WB Sys Redo:WB_Frame8,,,WB Sys Redo:WB_Frame9,,,WB Sys Redo:WB_Frame10,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,1097.201050,677.886230,938.084595,,,,,,,1213.736206,735.481812,1226.012695,1213.761597,745.028015,1657.344604,1160.106567,743.017639,1694.325684,1146.502930,155.056305,1654.809692,1095.486206,160.982666,1689.618408,1095.410156,158.967804,1008.412964,1148.525024,159.791992,1190.905273,1112.927856,1016.346558,1773.058838,1129.073853,909.618408,603.007874,1148.178223,72.413155,320.431152,1146.176880,73.224174,433.917480,1061.710938,11.028821,455.569794,1147.123779,71.589401,1065.921997,1148.024780,70.702713,1176.064087,1042.362061,12.133537,1726.491699,1126.061523,48.733414,1809.020142,1141.729980,67.308456,1924.231934
11,0,1096.763428,677.997803,937.584717,,,,,,,1213.725830,735.465942,1226.014648,1213.721802,745.001587,1657.293335,1159.936890,743.035828,1694.288940,1146.452515,155.039932,1654.827759,1095.453369,160.975739,1689.650879,1095.470825,158.954086,1008.394226,1148.480957,159.731018,1190.865967,1112.953125,1016.363770,1773.051880,1129.105225,909.661316,603.008789,1148.078125,72.359352,320.362366,1146.680298,72.933777,434.397766,1061.634521,11.013369,455.596039,1146.972534,71.638496,1065.896362,1147.989990,70.700699,1176.043579,1042.377808,12.081556,1726.444336,,,,1141.651489,67.361633,1924.259888
12,0,1097.177856,677.893066,938.101013,,,,,,,1213.774414,735.489502,1226.038452,1213.751099,744.999084,1657.285400,1159.937988,743.035095,1694.289551,1146.516113,155.099625,1654.837769,1095.295044,160.800369,1689.517212,1095.440918,158.930084,1008.414978,1148.540894,159.750305,1190.865723,1112.968506,1016.503113,1773.120239,1129.084961,909.634460,603.028015,1148.235596,72.452637,320.438293,1146.697388,72.963531,434.367310,1061.770508,11.019229,455.547882,1147.112549,71.562378,1065.833984,1148.001465,70.714386,1175.979370,1042.400024,12.160348,1726.452026,1135.533813,66.297173,1805.385620,1141.738037,67.480782,1924.224487
13,0,1096.489746,678.190674,938.004700,,,,,,,1213.743042,735.493652,1226.066040,1213.757812,744.977966,1657.356201,1160.059692,742.995850,1694.371094,1146.511108,155.103638,1654.964111,1095.434937,161.010223,1689.544922,1095.463501,158.919861,1008.400696,1148.503540,159.766418,1190.912842,1112.946655,1016.330933,1773.055176,1129.105835,909.601929,602.972107,1148.176147,72.382072,320.489685,1146.262939,73.264740,434.249939,1061.535156,11.025227,455.572693,1147.042725,71.632965,1065.953735,1147.993652,70.700287,1176.115112,1042.381958,12.152890,1726.456299,,,,1141.713989,67.428360,1924.308716
14,0,1096.460938,678.126648,937.902710,,,,,,,1213.755981,735.475586,1226.065063,1213.770386,745.003357,1657.359497,1159.985474,743.015564,1694.292725,1146.557739,155.168839,1654.984863,1095.456909,160.907837,1689.535522,1095.480347,158.928299,1008.417603,1148.487549,159.749161,1190.868042,1112.927856,1016.118530,1772.993896,1129.110352,909.619934,603.032288,1149.068604,72.128098,321.173553,1146.141479,73.226669,433.958374,1061.613525,11.002557,455.526917,1147.402710,71.690430,1066.268677,1148.009766,70.726448,1176.029785,1042.399414,12.103372,1726.450439,1134.703247,69.880959,1806.402466,1141.643555,67.340790,1924.282349
15,0,1096.416260,678.128357,937.854736,,,,,,,1213.758911,735.470215,1226.048340,1213.821411,745.007019,1657.392944,1160.160278,742.987488,1694.273438,1146.582153,155.173981,1655.038330,1095.248291,160.968521,1689.675293,1095.410645,158.950974,1008.402588,1148.496826,159.739105,1190.901978,1112.889282,1016.273376,1773.063965,1129.086792,909.594238,603.029175,1149.170776,72.113136,321.240814,1146.105347,73.166687,433.953400,1061.540894,11.003746,455.454346,1147.084473,71.592995,1065.965088,1148.020996,70.648773,1176.119019,1042.402100,12.130351,1726.506226,1136.237915,70.663231,1807.102051,1141.651245,67.445107,1924.273438
16,0,1096.531860,678.096619,937.886047,,,,,,,1213.972290,735.479187,1226.171753,1213.804199,745.009949,1657.375488,1160.148682,743.013306,1694.324097,1146.624756,155.225250,1655.116577,1095.432495,160.958176,1689.607788,1095.402832,158.883408,1008.546143,1148.468384,159.758331,1190.890625,1112.901245,1016.502502,1773.149170,1129.114380,909.580566,602.999390,1148.241577,72.374222,320.543701,1146.187866,73.169830,434.066498,1061.628784,11.066755,455.581055,1147.183350,71.581612,1066.085083,1148.039673,70.680931,1176.094849,1042.354736,12.113912,1726.504761,,,,1141.464966,67.293549,1924.229004
17,0,1097.075195,677.938538,938.195374,,,,,,,1213.789551,735.465515,1226.046509,1213.762451,745.006653,1657.359619,1160.102783,743.011169,1694.272339,1146.679932,155.303909,1655.139038,1095.344482,160.900284,1689.571411,1095.467285,158.973312,1008.440369,1148.506958,159.767548,1190.905273,1112.945679,1016.450623,1773.156982,1129.096191,909.601929,603.065857,1148.352417,72.366173,320.561340,1146.262695,73.259651,434.021759,1061.649170,11.014561,455.512543,1147.071899,71.603737,1065.943237,1148.022705,70.699944,1176.104492,1042.364990,12.124267,1726.463867,,,,1141.599487,67.357948,1924.340942
18,0,1096.479614,678.071960,937.844727,,,,,,,1213.744141,735.460327,1226.045532,1213.764648,744.987854,1657.360107,1160.033813,742.995422,1694.231567,1146.671265,155.313858,1655.155029,1094.921997,160.956833,1689.589844,1095.429932,158.947830,1008.371338,1148.469482,159.764435,1190.892456,1112.838745,1016.352173,1773.051758,1129.093994,909.612061,602.985596,1148.861328,72.413773,321.231689,1146.156128,73.171501,434.072266,1061.509155,11.042425,455.554352,1147.112427,71.602699,1066.054688,1147.939941,70.709702,1176.091553,1042.336060,12.134687,1726.479004,1135.406982,66.423172,1805.450073,1141.637695,67.415611,1924.314697
19,0,1097.242432,677.918701,938.137817,,,,,,,1213.751831,735.478455,1226.023315,1213.768799,744.984131,1657.341797,1160.126953,742.971436,1694.330444,1146.725952,155.329025,1655.166138,1095.258911,160.949356,1689.578735,1095.670044,159.049789,1008.459717,1148.501709,159.771820,1190.888672,1112.891968,1016.336792,1773.093628,1129.107178,909.634277,603.043701,1148.307617,72.439522,320.511383,1146.710449,72.980881,434.311157,1061.631470,11.034689,455.485687,1147.273804,71.615715,1066.024048,1147.978638,70.719879,1176.081421,1042.380005,12.162114,1726.462402,1135.269043,68.236237,1805.848022,1141.515869,67.446640,1924.294556
20,0,1096.464478,678.113708,937.850037,,,,,,,1213.770508,735.480713,1226.046265,1213.757568,744.996887,1657.344604,1160.282349,742.993713,1694.406738,1146.738037,155.360153,1655.173462,1095.175903,160.928879,1689.633789,1095.381836,158.948166,1008.390564,1148.470947,159.777374,1190.872192,1112.873169,1016.534180,1773.085815,1129.088623,909.624634,603.005188,1148.230103,72.425774,320.529572,1146.306030,73.257797,434.119202,1061.618530,11.054241,455.488007,1147.035400,71.562622,1065.911499,1147.974243,70.688202,1176.120728,1042.352905,12.140231,1726.498901,1135.327393,67.978531,1805.666138,1141.876831,67.520248,1924.173340
21,0,1096.735840,678.027588,937.784546,,,,,,,1213.762939,735.493958,1226.045776,1213.762451,745.008057,1657.316162,1160.097168,743.031677,1694.357666,1146.602905,155.228500,1655.062378,1095.464722,160.871185,1689.509033,1095.452148,158.958817,1008.420227,1148.465332,159.747086,1190.879150,1112.897095,1016.235962,1773.005249,1129.106567,909.629333,602.983337,1148.221802,72.379990,320.496704,1146.262817,73.206100,434.086212,1061.582764,11.060319,455.557648,1146.994751,71.601471,1065.911011,1147.928345,70.696190,1176.059448,1042.370361,12.155325,1726.448975,1135.230957,67.885941,1805.824219,1141.604736,67.342445,1924.292725
22,0,1097.139404,677.865051,938.107422,,,,,,,1213.769897,735.495117,1226.048706,1213.793579,745.019043,1657.340454,1160.122559,743.006287,1694.355591,1146.619507,155.222107,1655.024414,1095.502686,160.918839,1689.547241,1095.426392,158.925049,1008.427734,1148.496704,159.767487,1190.865723,1112.900879,1016.423218,1773.115967,1129.079712,909.596802,603.020874,1149.221313,72.124565,321.245422,1146.201660,73.133522,433.986206,1061.611816,11.000318,455.481201,1147.241089,71.620544,1066.048096,1148.042358,70.669662,1176.075317,1042.355469,12.076030,1726.438965,1133.995483,68.117310,1804.794922,1141.725952,67.403084,1924.303223
23,0,1097.151855,677.867859,938.202637,,,,,,,1213.751831,735.489563,1226.057617,1213.781006,744.998840,1657.347412,1160.106201,743.015808,1694.390259,1146.605591,155.222244,1655.062012,1095.380371,160.833038,1689.536133,1095.409302,158.935425,1008.437134,1148.479736,159.762100,1190.874756,1112.901855,1016.443115,1773.102661,1129.108276,909.610779,602.993530,1149.040405,72.138687,321.177002,1146.145020,73.221420,434.033875,1061.611816,11.032453,455.576904,1147.027832,71.582100,1065.938110,1147.966553,70.704880,1176.031982,1042.404785,12.091544,1726.490723,,,,1141.693604,67.328568,1924.293091
24,0,1096.443848,678.088196,937.873657,,,,,,,1213.701904,735.406433,1225.912842,1213.795532,745.014893,1657.362915,1160.139404,743.007935,1694.292725,1146.664917,155.266281,1655.119507,1095.331055,161.008041,1689.634644,1095.456421,158.979156,1008.427124,1148.505127,159.775070,1190.911621,1112.861572,1016.465637,1773.073730,1129.104858,909.607788,603.027161,1148.279785,72.424431,320.565735,1146.643311,72.954132,434.389679,1061.756348,11.034385,455.549561,1147.083252,71.587410,1065.942993,1148.027344,70.703911,1176.079102,1042.447388,12.133296,1726.515503,1135.320068,67.707802,1805.583618,1141.683350,67.455521,1924.265503
25,0,1096.514038,678.173096,937.863647,,,,,,,1213.787842,735.458740,1226.025269,1213.842651,744.992554,1657.386230,1160.164917,742.994568,1694.313599,1146.657715,155.253387,1655.072876,1095.474121,160.885178,1689.520386,1095.456787,158.928589,1008.382446,1148.471680,159.737625,1190.887573,1112.912476,1016.346069,1773.111450,1129.096924,909.605103,603.018066,1149.033203,72.151772,321.164642,1146.195312,73.126984,434.006989,1061.617188,11.004084,455.536621,1147.184082,71.589531,1066.041748,1147.947388,70.722244,1176.073486,1042.338623,12.050611,1726.481445,,,,1141.624390,67.377037,1924.300659
26,0,1096.504150,678.155457,937.960205,,,,,,,1213.990723,735.485962,1226.179565,1213.865967,745.003479,1657.376587,1160.159668,742.981995,1694.254517,1146.637451,155.231232,1655.088745,1095.383545,160.937225,1689.633789,1095.634521,158.982773,1008.459473,1148.479980,159.746902,1190.876221,1112.974365,1016.533630,1773.191284,1129.122314,909.638672,603.061584,1149.107910,72.090378,321.168793,1146.207153,73.129456,434.025604,1061.659668,11.049966,455.555542,1147.101196,71.572670,1065.924072,1147.986816,70.664597,1176.124634,1042.391357,12.095819,1726.442749,,,,1141.694458,67.436020,1924.351074
